DIRECTORIO,P6800,mes
7859376,70,Julio_2024
7859377,40,Julio_2024
7859377,40,Julio_2024
7859377,40,Julio_2024
7859378,40,Julio_2024
7859379,48,Julio_2024
7859380,48,Julio_2024
7859381,48,Julio_2024
7859382,20,Julio_2024
7859383,36,Julio_2024
7859383,40,Julio_2024
7859385,32,Julio_2024
7859385,30,Julio_2024
7859385,48,Julio_2024
7859385,48,Julio_2024
7859386,48,Julio_2024
7859388,36,Julio_2024
7859389,48,Julio_2024
7859389,48,Julio_2024
7859391,48,Julio_2024
7859391,48,Julio_2024
7859392,48,Julio_2024
7859392,40,Julio_2024
7859393,48,Julio_2024
7859394,40,Julio_2024
7859397,72,Julio_2024
7859398,30,Julio_2024
7859399,40,Julio_2024
7859400,48,Julio_2024
7859401,48,Julio_2024
7859402,40,Julio_2024
7859403,30,Julio_2024
7859403,48,Julio_2024
7859404,30,Julio_2024
7859408,40,Julio_2024
7859409,30,Julio_2024
7859410,48,Julio_2024
7859410,40,Julio_2024
7859413,56,Julio_2024
7859414,36,Julio_2024
7859415,48,Julio_2024
7859416,48,Julio_2024
7859417,48,Julio_2024
7859417,48,Julio_2024
7859418,48,Julio_2024
7859419,40,Julio_2024
7859420,48,Julio_2024
7859420,36,Julio_2024
7859421,44,Julio_2024
7859422,48,Julio_2024
7859424,48,Julio_2024
7859425,48,Julio_2024
7859426,72,Julio_2024
7859428,20,Julio_2024
7859428,44,Julio_2024
7859429,60,Julio_2024
7859429,48,Julio_2024
7859431,48,Julio_2024
7859431,48,Julio_2024
7859434,36,Julio_2024
7859435,4,Julio_2024
7859435,60,Julio_2024
7859436,40,Julio_2024
7859436,40,Julio_2024
7859437,48,Julio_2024
7859437,30,Julio_2024
7859438,50,Julio_2024
7859438,8,Julio_2024
7859438,50,Julio_2024
7859438,50,Julio_2024
7859439,40,Julio_2024
7859439,47,Julio_2024
7859440,8,Julio_2024
7859440,6,Julio_2024
7859441,47,Julio_2024
7859442,40,Julio_2024
7859443,30,Julio_2024
7859443,50,Julio_2024
7859443,40,Julio_2024
7859443,40,Julio_2024
7859444,30,Julio_2024
7859444,48,Julio_2024
7859445,30,Julio_2024
7859446,40,Julio_2024
7859448,48,Julio_2024
7859449,48,Julio_2024
7859449,48,Julio_2024
7859450,40,Julio_2024
7859453,50,Julio_2024
7859453,48,Julio_2024
7859454,48,Julio_2024
7859455,48,Julio_2024
7859456,40,Julio_2024
7859457,40,Julio_2024
7859457,50,Julio_2024
7859458,40,Julio_2024
7859458,72,Julio_2024
7859459,48,Julio_2024
7859460,56,Julio_2024
7859460,48,Julio_2024
7859461,72,Julio_2024
7859462,60,Julio_2024
7859464,40,Julio_2024
7859464,40,Julio_2024
7859466,48,Julio_2024
7859467,72,Julio_2024
7859468,40,Julio_2024
7859468,48,Julio_2024
7859470,36,Julio_2024
7859471,48,Julio_2024
7859471,48,Julio_2024
7859472,48,Julio_2024
7859474,48,Julio_2024
7859474,48,Julio_2024
7859475,48,Julio_2024
7859477,48,Julio_2024
7859477,48,Julio_2024
7859478,48,Julio_2024
7859478,48,Julio_2024
7859480,48,Julio_2024
7859481,30,Julio_2024
7859481,40,Julio_2024
7859483,40,Julio_2024
